Counter,Date/time,Latitude,Longitude,Elevation
35,2022-04-18 21:41:32.836486,-41.0053135847747,-38.9995505958118,432.916016225768
36,2022-04-18 21:41:47.628864,-41.5463614977729,-38.019563017852,433.122310746211
37,2022-04-18 21:42:02.411036,-42.0774006579078,-37.0229712823656,433.323601055486
38,2022-04-18 21:42:17.554295,-42.6110747938637,-35.9838091556417,433.524568166674
39,2022-04-18 21:42:32.709678,-43.1343230610848,-34.9250748959045,433.720180543183
40,2022-04-18 21:42:47.521696,-43.6348737067487,-33.871926568361,433.905843065188
41,2022-04-18 21:43:02.331440,-44.124253015595,-32.8005536987598,434.085835420678
42,2022-04-18 21:43:17.152646,-44.602540197582,-31.7097368303403,434.260143753315
43,2022-04-18 21:43:32.287829,-45.0787204139485,-30.5764349904552,434.431950931633
44,2022-04-18 21:43:47.079211,-45.5317483956806,-29.4498253472985,434.593638340211
45,2022-04-18 21:44:01.859855,-45.9718670197383,-28.3051646684492,434.748901832228
46,2022-04-18 21:44:16.668638,-46.3998372287769,-27.1393232553886,434.897986868372
47,2022-04-18 21:44:31.480847,-46.8144978333038,-25.954216843085,435.040467685169
48,2022-04-18 21:44:46.298690,-47.2155066276942,-24.7496866031588,435.176214202972
49,2022-04-18 21:45:01.449704,-47.6108251326668,-23.4985915270573,435.307841593299
50,2022-04-18 21:45:16.268751,-47.9826846245461,-22.256041510535,435.429430261998
51,2022-04-18 21:45:31.080491,-48.3393472029805,-20.9956566897459,435.543761095387
52,2022-04-18 21:45:46.229115,-48.6881820969716,-19.6878390671355,435.653118946662
53,2022-04-18 21:46:01.390185,-49.0207373044794,-18.3603768762404,435.75476984802
54,2022-04-18 21:46:16.200879,-49.3292192518804,-17.0460577929866,435.84642869857
55,2022-04-18 21:46:31.008507,-49.6210635338426,-15.715205129782,435.930410772956
56,2022-04-18 21:46:45.786974,-49.8954402279383,-14.370813577278,436.006493946984
57,2022-04-18 21:47:00.567602,-50.1526211822966,-13.0107410839056,436.074768887137
58,2022-04-18 21:47:15.407059,-50.3931527407922,-11.6303510445994,436.135366292741
59,2022-04-18 21:47:30.507030,-50.6193805034225,-10.2112856448691,436.188767679429
60,2022-04-18 21:47:45.330417,-50.8229738506241,-8.80492518653161,436.233014659436
61,2022-04-18 21:48:00.424864,-51.0111672382587,-7.36026891875598,436.269680449786
62,2022-04-18 21:48:15.233495,-51.1767750063023,-5.9316299765532,436.297366573002
63,2022-04-18 21:48:30.383303,-51.326421840283,-4.45979751909773,436.317142886511
64,2022-04-18 21:48:45.195627,-51.4531965109891,-3.01163477441007,436.328080461096
65,2022-04-18 21:49:00.289586,-51.5622962179435,-1.52800908001326,436.330645868589
66,2022-04-18 21:49:15.087614,-51.6494096235624,-0.0669179014226997,436.324724770747
67,2022-04-18 21:49:29.905551,-51.7168117125635,1.40135989423022,436.310404966646
68,2022-04-18 21:49:44.713836,-51.7642390541728,2.87255200208432,436.287693316023
69,2022-04-18 21:49:59.481753,-51.7916195310933,4.34226278374742,436.256673705886
70,2022-04-18 21:50:14.622845,-51.7989958287551,5.85035622985418,436.216193279109
71,2022-04-18 21:50:29.438497,-51.7859175519481,7.32583765234823,436.168088886678
72,2022-04-18 21:50:44.258926,-51.7527696742103,8.80025973096331,436.111578692697
73,2022-04-18 21:50:59.331297,-51.6985249010593,10.2968528869141,436.045521881344
74,2022-04-18 21:51:14.142124,-51.6251460936321,11.7630336685036,435.972220490752
