Counter,Date/time,Latitude,Longitude,Elevation,Temperature,Humidity,Pressure,Compass,Orient_pitch,Orient_roll,Orient_yaw,Comp_x,Comp_y,Comp_z,gyro_pitch,gyro_roll,gyro_yaw,gyro_x,gyro_y,gyro_z,accel_pitch,accel_roll,accel_yaw,accel_x,accel_y,accel_z
31,2022-04-15 18:13:40.057627,-31.74612354020966,139.34071147364253,425.0558781677823,35.2581,28.961,1017.9341,36.7654,339.5831490141264,45.1787063216833,36.43879625973498,20.241071701049805,-24.118314743041992,-9.263533592224121,339.57890063646266,45.17500094405857,36.1314616527465,-0.003484562039375305,-0.002280689775943756,0.002001401036977768,339.36825931000675,45.57616868986468,36.171390938634396,0.021715998649597168,0.031964000314474106,0.015615999698638916
32,2022-04-15 18:13:45.300177,-31.513318409815405,139.60742190999045,424.9477538750932,35.2225,28.808,1017.9785,35.8929,339.1546178229579,45.929958828493,35.58439082098516,20.163639068603516,-24.210004806518555,-9.19548225402832,339.15368037949435,45.93205569656819,35.28417327111183,0.001049824059009552,0.0001637488603591919,0.0010889526456594467,338.96986803609826,46.27883464601349,35.315544329969704,0.020495999604463577,0.03171999752521515,0.017079999670386314
33,2022-04-15 18:13:50.532945,-31.280292053066415,139.8722150332588,424.8398246549822,35.347,28.9365,1017.9414,35.0377,338.7987239860652,46.57789447882251,34.735753476989416,20.24232292175293,-23.833959579467773,-9.02320671081543,338.79883156154466,46.57588640320652,34.43773866312342,0.0033952444791793823,0.0003734976053237915,0.0017037168145179749,338.5878538482721,46.928228541730796,34.47488806201912,0.01781199872493744,0.030988000333309174,0.013907999731600285
34,2022-04-15 18:13:55.775546,-31.046175851142095,140.13610401841922,424.7316946879983,35.2225,28.6489,1017.9497,34.1852,338.4637117450126,47.29788862489564,33.88102360425402,20.005435943603516,-23.689075469970703,-9.074132919311523,338.46476359414476,47.29937077594553,33.58478463957223,-0.001437447965145111,0.0006410181522369385,0.00048149004578590393,338.29443916681214,47.67484676518865,33.61689677395504,0.020495999604463577,0.03147599846124649,0.01512799970805645
35,2022-04-15 18:14:01.016418,-30.81149242101057,140.3985206787307,424.6236126064056,35.2581,28.8295,1017.9575,33.3377,338.12153975816244,47.99738195817499,33.03858124183548,19.584962844848633,-23.638141632080078,-9.087634086608887,338.12050669205047,48.00142201506905,32.74773129640882,0.0021142177283763885,4.557520151138306e-05,0.0005199257284402847,337.99110705067733,48.44451687709529,32.775444788966155,0.019763998687267303,0.031231999397277832,0.016835998743772507
36,2022-04-15 18:14:06.258283,-30.576131034769265,140.65961488870352,424.5155339514835,35.2403,28.7285,1017.9607,32.4706,337.8494899084263,48.70221649938529,32.153419461253094,19.149242401123047,-23.53037452697754,-9.881702423095703,337.8478489554782,48.701840838980935,31.844872495686936,0.0015010088682174683,0.000422842800617218,0.0005942266434431076,337.69218894429355,49.047110316619666,31.871571705152515,0.019519999623298645,0.03001200035214424,0.014151999726891518
37,2022-04-15 18:14:11.501469,-30.340086644704364,140.91941629185575,424.4074632575602,35.347,28.7254,1017.9353,31.582,337.52995487603283,49.351685527183456,31.2775057568069,19.077865600585938,-23.272891998291016,-9.588349342346191,337.5306839987267,49.35006335725558,30.979309942927898,0.0006136596202850342,0.001954883337020874,-0.0008443370461463928,337.4342434351935,49.603473620746804,30.99241366085057,0.018300000578165054,0.0302559994161129,0.01512799970805645
38,2022-04-15 18:14:16.757545,-30.102842774386836,141.17851029930264,424.29917208657315,35.2759,28.8386,1017.9504,30.6975,337.3178382287162,49.87409937604105,30.39863116535551,19.569608688354492,-23.129507064819336,-9.81480598449707,337.31745915321727,49.87736420646432,30.094353068020613,-0.0006261169910430908,0.0006580427289009094,9.23052430152893e-05,337.19791376726914,50.22671472213213,30.11525344688085,0.02025200054049492,0.03245199844241142,0.013175999745726585
39,2022-04-15 18:14:21.992996,-29.865928530006958,141.4352563836657,424.1913644025082,35.2225,28.8539,1017.9097,29.8374,337.0542953795913,50.57051912419389,29.539130405484862,18.70683479309082,-23.197004318237305,-10.056144714355469,337.0512849737146,50.565966803112076,29.240811648200797,-0.0017741471529006958,0.0012222379446029663,0.0024452321231365204,336.8834347824088,50.83965248315449,29.266479499101706,0.022204000502824783,0.031964000314474106,0.015371999703347683
40,2022-04-15 18:14:27.226569,-29.628495223965366,141.6906115915945,424.08365862130796,35.347,28.7774,1017.9175,28.9883,336.7055971469892,51.09979731316735,28.691944476687745,18.729114532470703,-22.97453498840332,-9.895035743713379,336.70505585449746,51.09936359615506,28.401765597347044,-0.0005849599838256836,5.698949098587036e-05,0.0013917293399572372,336.57402721300724,51.41029088264696,28.42249863657262,0.019276000559329987,0.03245199844241142,0.01268799975514412
41,2022-04-15 18:14:32.468960,-29.390069546248014,141.94510531482365,423.9758475242677,35.2403,28.7224,1017.9141,28.1287,336.4642985164437,51.7476544163214,27.819509046076384,18.256149291992188,-22.769207000732422,-10.47062873840332,336.4622938559223,51.74617568036609,27.514759665688754,0.00025770068168640137,-0.00018592923879623413,0.001613173633813858,336.35295277259416,52.04083004116044,27.531269940459968,0.019519999623298645,0.03147599846124649,0.011467999778687954
42,2022-04-15 18:14:37.711137,-29.151077784262732,142.19830198011223,423.868131547204,35.2759,28.7193,1017.958,27.2664,336.2223356500014,52.390358141746674,26.981955391556276,18.066734313964844,-22.750385284423828,-9.951957702636719,336.2202404894735,52.389593160559635,26.700193012820325,-0.00043271854519844055,-0.0007062628865242004,-0.0011241864413022995,336.0984121127953,52.649881424545065,26.713590428877307,0.01903199963271618,0.032207999378442764,0.010979999788105488
43,2022-04-15 18:14:42.952036,-28.911567447627313,142.4501759927443,423.76053882003106,35.2759,28.7224,1017.9338,26.4127,335.99295569955757,53.01262594117527,26.092599874823502,17.894582748413086,-22.264007568359375,-10.831547737121582,335.99125327490697,53.00985288437224,25.77582082376019,-0.001893017441034317,0.0005469396710395813,0.0006711035966873169,335.82812786695956,53.21201623852087,25.79323097595455,0.020495999604463577,0.032207999378442764,0.013663999736309052
44,2022-04-15 18:14:48.186785,-28.671775592713438,142.70050560828253,423.6531819676121,35.3114,28.7989,1017.9355,25.5116,335.7048702731975,53.48115642767063,25.21469346268696,17.854143142700195,-21.967426300048828,-10.276135444641113,335.7029475749461,53.48401486183829,24.917137979042646,0.0011027902364730835,0.0008797124028205872,-0.0002086348831653595,335.61771535184084,53.783405958822044,24.93027926300575,0.019276000559329987,0.030499998480081558,0.013907999731600285
45,2022-04-15 18:14:53.430573,-28.43100000294037,142.9500456746527,423.54575385710143,35.2047,28.6061,1017.9368,24.64,335.50771686280507,54.012265107341655,24.347018673927096,17.932538986206055,-22.112356185913086,-10.269351959228516,335.50651474951115,54.014423447119384,24.060960106203208,-0.001359313726425171,0.0017278417944908142,-0.0014047808945178986,335.406706902717,54.288443806431125,24.075580126121622,0.019519999623298645,0.03147599846124649,0.013419999741017818
46,2022-04-15 18:14:58.667318,-28.190006575889367,143.1980244732263,423.4386033838784,35.2936,28.5327,1017.9648,23.8049,335.30489098030694,54.5356249373993,23.533534606042117,17.666553497314453,-22.108322143554688,-10.062664985656738,335.3052615180694,54.53572739023685,23.263067652646075,-0.0019227638840675354,-0.00011993944644927979,-0.0011297240853309631,335.20140336909753,54.75064270756589,23.27295605901696,0.019763998687267303,0.0302559994161129,0.013663999736309052
47,2022-04-15 18:15:03.912956,-27.948060341004837,143.4452203729715,423.3314109429002,35.3114,28.7162,1017.9373,23.0087,335.0823924454519,54.9641510059259,22.735283567553555,17.50952911376953,-21.821571350097656,-10.162333488464355,335.0819604359869,54.961712628392206,22.466524161450018,0.0014105327427387238,0.00012511759996414185,4.346296191215515e-05,334.97492454150364,55.18869005979548,22.47839673777479,0.019519999623298645,0.032207999378442764,0.016103999689221382
48,2022-04-15 18:15:09.150881,-27.705929633538084,143.69087038804588,423.2245240924618,35.2759,28.6459,1017.9133,22.1982,334.906310168649,55.35131003374432,21.920626414678626,17.28907012939453,-21.70686149597168,-10.373043060302734,334.90648775356743,55.353266882941526,21.652570518059598,-0.0008403398096561432,0.0003278777003288269,-0.0008184723556041718,334.87343134553186,55.65220718744006,21.657194556127696,0.02025200054049492,0.03269600123167038,0.007075999863445759
49,2022-04-15 18:15:14.389307,-27.463250002778263,143.93537023215544,423.11778819072094,35.2759,28.7621,1017.917,21.4049,334.753578601071,56.083718048633955,21.1298612635204,17.329069137573242,-21.48465347290039,-10.34376335144043,334.7539064501512,56.084483029820994,20.855458413615136,0.0019032545387744904,0.002442687749862671,0.0004507247358560562,334.66240240584057,56.32023042411857,20.869624225953743,0.02122800052165985,0.030499998480081558,0.01439599972218275
50,2022-04-15 18:15:19.620291,-27.220398195933157,144.17836588942131,423.0113751827696,35.3292,28.7132,1017.9453,20.6019,334.52565006582586,56.48359488868694,20.32550745100843,17.263593673706055,-21.734766006469727,-10.77003288269043,334.5233721977376,56.48443841704943,20.051012393549374,-0.0005468800663948059,0.0026731491088867188,-0.0018628109246492386,334.4504445604221,56.7618465501895,20.063023281204842,0.01756799966096878,0.031964000314474106,0.01268799975514412
51,2022-04-15 18:15:24.863154,-26.976485302731565,144.42076669857204,422.9049031297663,35.2047,28.909,1017.9292,19.7839,334.4203353790134,56.992160529002334,19.50170979747673,17.1622314453125,-21.429258346557617,-10.808361053466797,334.42180557723225,56.99200001955683,19.230706674230845,0.0015050284564495087,-6.277859210968018e-05,-0.0008893515914678574,334.3477219303997,57.17072899466314,19.236310844444837,0.020739998668432236,0.03294000029563904,0.013907999731600285
52,2022-04-15 18:15:30.096013,-26.73252872499889,144.66158238174225,422.7988234377015,35.2759,28.6245,1017.9541,18.9633,334.2586648013592,57.365747970939935,18.693695003569637,16.76276397705078,-21.132625579833984,-10.573773384094238,334.2579203107397,57.365625027534875,18.43344772071923,0.0008857734501361847,-0.0014290064573287964,3.204867243766785e-05,334.1660201154572,57.59149255319802,18.441700296783896,0.020739998668432236,0.033427998423576355,0.010003999806940556
53,2022-04-15 18:15:35.331754,-26.487940414293043,144.90141819282005,422.69288666728386,35.3114,28.6979,1017.9609,18.2041,334.06874626884513,57.89985510365659,17.94857259154002,16.60191535949707,-20.847457885742188,-10.37016487121582,334.06863527827113,57.8987827639569,17.694890828029287,7.1302056312561035e-06,8.69259238243103e-05,0.0021508801728487015,333.96970681833267,58.039156811779,17.703505404119966,0.02000799961388111,0.03001200035214424,0.01512799970805645
54,2022-04-15 18:15:40.565232,-26.242972342081927,145.14004808650438,422.5872091097338,35.507,28.6367,1017.9421,17.4554,333.8750523492673,58.141227158735674,17.2001033868171,16.55162811279297,-20.300926208496094,-10.37234878540039,333.8754245945771,58.1413569323299,16.943665641976263,0.0015643537044525146,8.321553468704224e-05,0.0018609650433063507,333.7729854174052,58.31532868067929,16.95382554836666,0.02122800052165985,0.03171999752521515,0.013419999741017818
55,2022-04-15 18:15:45.802550,-25.99733573874993,145.37777372534208,422.4816734987226,35.2759,28.6551,1017.9358,16.685,333.664776437932,58.486247334469695,16.414882641717632,16.428239822387695,-20.18007469177246,-10.718286514282227,333.66602465500284,58.48743578738528,16.149867886826552,0.002140011638402939,0.0015763714909553528,0.0006185993552207947,333.5762759693089,58.70225206697135,16.16198122731957,0.018543999642133713,0.0302559994161129,0.015615999698638916
