Counter,Date/time,Latitude,Longitude,Elevation,Temperature,Humidity,Temperature_Humid,Temperature_Press,Pressure,Compass,Orient_pitch,Orient_roll,Orient_yaw,Comp_x,Comp_y,Comp_z,gyro_pitch,gyro_roll,gyro_yaw,gyro_x,gyro_y,gyro_z,accel_pitch,accel_roll,accel_yaw,accel_x,accel_y,accel_z
37,2022-04-19 22:44:12.028227,-41.00459419391087,32.79112271712184,430.2589532007132,34.7602,29.1782,34.7602,33.5167,1006.0098,7.8665,337.00358293255124,50.60762412685999,7.871460900491304,35.11945343017578,-2.5691351890563965,3.791844606399536,337.0039346872935,50.60931801377415,7.874582296941999,-0.00013848766684532166,0.00026329606771469116,-0.0003402344882488251,336.89331123594866,50.90176622346659,7.8901004867362685,0.02000799961388111,0.031964000314474106,0.015615999698638916
38,2022-04-19 22:44:22.260350,-40.62456331236998,33.45957809235236,430.06481879060647,34.8314,29.3251,34.8314,33.5271,1006.0249,7.9064,336.76886689681834,51.15673377008858,7.9039077141434495,35.62290954589844,-2.412837505340576,3.6582415103912354,336.76747183068034,51.1552482039441,7.8970971617673005,-0.0021956302225589752,-0.0005471557378768921,-0.000344960018992424,336.6255404997275,51.50949596524681,7.920664729498429,0.020495999604463577,0.0302559994161129,0.015859998762607574
39,2022-04-19 22:44:32.510311,-40.23949756138137,34.12115202010616,429.86852135333004,34.8314,29.371,34.8314,33.5146,1006.0132,7.9418,336.47419204545645,51.719626735062256,7.954193274360375,35.98698806762695,-3.0099101066589355,4.137330055236816,336.4730479887705,51.72154943331361,7.972440124728065,-0.0030320435762405396,-0.0025149956345558167,0.0032807588577270508,336.3298189218753,52.021855775646145,7.992712979958308,0.02122800052165985,0.0302559994161129,0.014883999712765217
40,2022-04-19 22:44:42.759311,-39.85020539902228,34.77470938746079,429.6704940373947,34.7602,29.524,34.7602,33.5125,1005.9739,8.0458,336.15993333419686,52.24951964106101,8.078056193637618,35.849185943603516,-3.112576961517334,4.581785202026367,336.16098859842367,52.24821507492954,8.110033431784325,0.0006883889436721802,-0.001024298369884491,-0.000655394047498703,336.0175546258534,52.50653965952859,8.125866664054062,0.02000799961388111,0.030988000333309174,0.013907999731600285
41,2022-04-19 22:44:52.997296,-39.457153081195834,35.41978000265569,429.4709950884506,34.778,29.2884,34.778,33.5167,1005.9927,8.1608,335.8877400504881,52.766069772516154,8.183609937070996,36.14462661743164,-2.8666296005249023,4.695817470550537,335.8898027676175,52.76331037609147,8.212569085378203,-0.0016365498304367065,-0.000736333429813385,0.002096300944685936,335.75364806915513,53.03517922581465,8.231235138606202,0.020983999595046043,0.030499998480081558,0.013419999741017818
42,2022-04-19 22:45:03.244727,-39.05969297174626,36.057712207168365,429.269719249175,34.7069,29.3863,34.7069,33.5,1005.9885,8.2883,335.5952423219242,53.2909322441912,8.327083183228991,35.71398162841797,-3.2330124378204346,4.927018642425537,335.5953379445726,53.28632869669061,8.36837338430901,0.0007477700710296631,0.0009631514549255371,-0.0008626524358987808,335.46674085042685,53.57755430252161,8.38718031018864,0.019763998687267303,0.031964000314474106,0.013419999741017818
43,2022-04-19 22:45:13.479089,-38.65876502911836,36.68728176458298,429.0671675060902,34.7247,29.3679,34.7247,33.5125,1005.9944,8.4378,335.36410872041097,53.84480594436587,8.470757919967502,35.798858642578125,-3.3216307163238525,4.95419454574585,335.364289720424,53.84947437866357,8.50788682829569,0.002542216330766678,-0.003275670111179352,0.0003825165331363678,335.24610354212064,54.16686302411031,8.522108135921304,0.02000799961388111,0.031231999397277832,0.010003999806940556
44,2022-04-19 22:45:23.722065,-38.253647467671016,37.30990303548066,428.8630018358854,34.7425,29.5056,34.7425,33.4896,1005.9851,8.5832,335.11447725907806,54.51842310597462,8.61775383618993,35.86149978637695,-3.0531387329101562,4.96453332901001,335.113420287304,54.51925297395878,8.64941603186117,-0.000559687614440918,0.0021475031971931458,7.713772356510162e-05,334.9822874854289,54.78323637028519,8.669584726706573,0.020739998668432236,0.03147599846124649,0.008051999844610691
45,2022-04-19 22:45:33.957951,-37.845040700677295,37.924764145887146,428.6576038598976,34.6713,29.3037,34.6713,33.4833,1005.9709,8.7271,334.83316908792193,55.18737866347484,8.749158138084514,36.294456481933594,-3.170222043991089,4.6222758293151855,334.83224018219477,55.184352889672525,8.773214064341298,-0.0023353025317192078,0.0017464831471443176,0.0009094160050153732,334.7038275031567,55.55172827456,8.799635797371847,0.019763998687267303,0.03245199844241142,0.01439599972218275
46,2022-04-19 22:45:44.209311,-37.43214105056057,38.53332158691416,428.4506004344922,34.7069,29.3832,34.7069,33.4771,1005.9829,8.8499,334.62785018637675,55.75892889322151,8.90288776705493,36.37885284423828,-3.5439608097076416,5.656734466552734,334.62843929019266,55.75762091199545,8.953297978224208,0.0006968379020690918,-0.0015440359711647034,0.0002685021609067917,334.5490400486385,55.92417507490621,8.957904087045735,0.02000799961388111,0.03001200035214424,0.015615999698638916
47,2022-04-19 22:45:54.458341,-37.01574626303019,39.13463397921363,428.24242432883284,34.6713,29.218,34.6713,33.4833,1005.9902,9.0186,334.4461620318125,56.05305732944977,9.069504255441867,36.594844818115234,-3.9735426902770996,5.5803375244140625,334.44670503185154,56.0514112538598,9.119201565616525,-0.00044413283467292786,-0.0009055361151695251,0.0002379249781370163,334.35691024238065,56.2896106860694,9.12863491063396,0.019276000559329987,0.031231999397277832,0.013175999745726585
48,2022-04-19 22:46:04.697015,-36.59628142433077,39.728363802469914,428.0333202322028,34.7958,29.3373,34.7958,33.4771,1005.9553,9.1883,334.27749734044824,56.502695512700875,9.238146748691358,36.65253829956055,-4.056744575500488,5.460651874542236,334.2753936421839,56.50161292771743,9.28331308212536,-0.00041842833161354065,-0.0014248192310333252,0.0010844655334949493,334.1965066648175,56.74071394489748,9.291402587423594,0.019763998687267303,0.030499998480081558,0.013907999731600285
49,2022-04-19 22:46:14.941087,-36.17318606250336,40.31556177327326,427.82304301317004,34.6891,29.3649,34.6891,33.4729,1005.9695,9.3443,334.1022859127645,56.91211412702437,9.389363721820857,36.86149215698242,-4.00596284866333,5.576058864593506,334.10262229958107,56.90978844761198,9.43621540443256,-0.001306246966123581,0.0007492899894714355,-0.00048329681158065796,333.9854828477681,57.10449665028153,9.448222023219795,0.018300000578165054,0.031231999397277832,0.014883999712765217
50,2022-04-19 22:46:25.178446,-35.74705054343753,40.89565452915348,427.61192203787573,34.7425,29.3863,34.7425,33.475,1005.959,9.5107,333.94829759037924,57.251618925003605,9.561797823833352,36.60215377807617,-3.98210072517395,5.612355709075928,333.94647222232356,57.250949566464946,9.6052113599716,-0.0019245073199272156,-0.00021003186702728271,0.0003995094448328018,333.8025772119843,57.48188850758683,9.621784813992635,0.01903199963271618,0.03147599846124649,0.013419999741017818
51,2022-04-19 22:46:35.425270,-35.31728825628755,41.46967585471186,427.39970441588684,34.7247,29.475,34.7247,33.4667,1005.9763,9.6651,333.74498505690275,57.66808629455055,9.705258263386654,36.42765808105469,-3.4535937309265137,5.903141975402832,333.74472038707245,57.66467803015471,9.74877425236245,-0.001497853547334671,-0.001622416079044342,-0.0014790892601013184,333.65789843743784,57.91393895372516,9.75587423400468,0.019276000559329987,0.03171999752521515,0.010979999788105488
52,2022-04-19 22:46:45.677632,-34.88412889696275,42.037530272887196,427.1865439518107,34.7425,29.3679,34.7425,33.4583,1005.949,9.8135,333.58768750786464,58.169818330601345,9.862435430340634,36.6424674987793,-3.751171588897705,6.046494007110596,333.5868508096913,58.17140293448879,9.905495504189332,0.0009609386324882507,0.0004994496703147888,0.00030447356402873993,333.5070639549018,58.34516977716308,9.913179467005596,0.01903199963271618,0.03147599846124649,0.014639999717473984
53,2022-04-19 22:46:55.916623,-34.448466676448795,42.59828813519907,426.97291990243156,34.778,29.371,34.778,33.4542,1005.9546,9.9594,333.4622920648924,58.47809891878987,9.999339742064368,36.83210372924805,-3.991755247116089,5.8598504066467285,333.45960950809587,58.47859069241011,10.040069013858801,-0.0007994994521141052,0.000520363450050354,0.0003034137189388275,333.34662281129823,58.66237059240765,10.051198807111337,0.019763998687267303,0.031964000314474106,0.01195599976927042
54,2022-04-19 22:47:06.159801,-34.009628761774295,43.15305538651882,426.75854255947166,34.7958,29.3679,34.7958,33.4646,1005.9387,10.1234,333.2783516554494,58.87570472094382,10.179932505040444,37.13423538208008,-4.285785675048828,6.171061038970947,333.27789574032226,58.87517196618856,10.226750036706298,0.0018207281827926636,-0.0009553954005241394,1.2194737792015076e-05,333.12857414468743,59.178568969120526,10.247658099529351,0.01903199963271618,0.03269600123167038,0.011711999773979187
55,2022-04-19 22:47:16.399908,-33.56800673539145,43.70155671619048,426.5436457177343,34.7425,29.423,34.7425,33.4604,1005.9604,10.314,333.0916620948654,59.39904064533937,10.371774589579532,36.94252395629883,-4.197112560272217,6.440458297729492,333.0914810948524,59.39630856967136,10.425249848138854,-0.000809110701084137,3.3035874366760254e-05,0.0002834014594554901,333.03173230754044,59.49969031294868,10.428522362524935,0.019763998687267303,0.0331839993596077,0.013663999736309052
56,2022-04-19 22:47:26.646168,-33.123278349985455,44.24440539400972,426.3281164391538,34.6891,29.3404,34.6891,33.4583,1005.9321,10.4816,332.9942994557942,59.66077349433426,10.530036902837896,36.79562759399414,-4.0436882972717285,6.46248197555542,332.9952949558657,59.6618116830881,10.579297080905675,0.0003922097384929657,-0.002314731478691101,-0.0003235228359699249,332.933597857093,59.788839541272,10.57956687337789,0.02025200054049492,0.03171999752521515,0.015371999703347683
57,2022-04-19 22:47:36.886288,-32.67604674867979,44.78107810503729,426.1122915370073,34.7069,31.0783,34.7069,33.45,1005.948,10.6429,332.8773580794671,59.87487943424665,10.702026188780696,36.99458694458008,-4.1486358642578125,6.862628936767578,332.8784935984166,59.8758015097846,10.761274664735971,0.0015720352530479431,-0.0013547241687774658,-0.0012465883046388626,332.81700482041356,60.07824831678378,10.764710249888488,0.018543999642133713,0.03245199844241142,0.012199999764561653
58,2022-04-19 22:47:47.130168,-32.22595121720419,45.31221953164618,425.8960421475336,34.6891,29.6464,34.6891,33.45,1005.9451,10.8348,332.79787175300106,60.26383821691137,10.897272268847388,37.435646057128906,-3.969069480895996,7.116973400115967,332.79901580968703,60.26241070737483,10.959863268627737,-0.0023620612919330597,-0.00016500800848007202,0.0017887186259031296,332.7237317571079,60.25920051846492,10.961137098907946,0.021715998649597168,0.03147599846124649,0.010979999788105488
