Counter,Date/time,Latitude,Longitude,Elevation
256,2022-04-18 22:36:30.500710,51.79820362763851,173.27884294685936,420.2950627118666
257,2022-04-18 22:36:45.322077,51.79568585152604,174.76239993887123,420.337122394225
258,2022-04-18 22:37:00.102143,51.77298620175217,176.2409303362851,420.3750519485825
259,2022-04-18 22:37:14.903357,51.73008687884599,177.71933823212154,420.40901594363635
260,2022-04-18 22:37:29.684090,51.6671754094484,179.19211917734302,420.4389203190328
261,2022-04-18 22:37:44.482127,51.58420203267293,-179.3383675279763,420.4648494036245
262,2022-04-18 22:37:59.317045,51.481077637794336,-177.8714635676383,420.48683083949595
263,2022-04-18 22:38:14.141983,51.35823359757919,-176.41306192502842,420.50480517587624
264,2022-04-18 22:38:28.941963,51.21605064949671,-174.96580391302925,420.5187950922139
265,2022-04-18 22:38:43.781039,51.054116041663136,-173.52472967741556,420.5288873726557
266,2022-04-18 22:38:58.602760,50.87323616768848,-172.0963499142531,420.53507495895093
267,2022-04-18 22:39:13.785320,50.668415790893135,-170.6457780449125,420.537426288407
268,2022-04-18 22:39:28.992092,50.44375357739833,-169.20665053552443,420.53579194437657
269,2022-04-18 22:39:43.792442,50.20666770897551,-167.8201809169969,420.5304263310818
270,2022-04-18 22:39:58.997842,49.944497457584596,-166.41115600638716,420.521102310536
271,2022-04-18 22:40:13.802098,49.671495907813714,-165.05510157007865,420.5083833794339
272,2022-04-18 22:40:28.620274,49.38106928571568,-163.71408203984086,420.49213085124467
273,2022-04-18 22:40:43.394619,49.074766095703104,-162.39384698771207,420.47249840740415
274,2022-04-18 22:40:58.229685,48.7507827890072,-161.08565223455278,420.44942782821477
275,2022-04-18 22:41:13.010233,48.41200261645617,-159.80007242059932,420.42318621787837
276,2022-04-18 22:41:27.818255,48.05699512106284,-158.53034264283696,420.39373382293525
277,2022-04-18 22:41:42.639778,47.686430287359926,-157.27804145677524,420.36118669760657
278,2022-04-18 22:41:57.837679,47.29105296453746,-156.0135034917874,420.3247375404633
279,2022-04-18 22:42:12.983548,46.881945158830156,-154.7731934159516,420.2854335378927
280,2022-04-18 22:42:28.202511,46.45614023983754,-153.54705422553428,420.2430698051331
281,2022-04-18 22:42:43.408310,46.01640144332006,-152.34221881432913,420.1980000739579
282,2022-04-18 22:42:58.204822,45.575184785941886,-151.1892363027573,420.15164025028383
283,2022-04-18 22:43:13.033868,45.12023808488442,-150.05293305944664,420.10283356336663
284,2022-04-18 22:43:27.863089,44.652904287608614,-148.93575779891157,420.05181251971914
285,2022-04-18 22:43:43.078507,44.16093485741961,-147.80924025097178,419.99730600399954
286,2022-04-18 22:43:57.910062,43.66962529331792,-146.73024612739957,419.94221786559046
287,2022-04-18 22:44:12.698791,43.168557242240574,-145.67293577503713,419.8855108746696
288,2022-04-18 22:44:27.936044,42.64101140477006,-144.6027216718171,419.8253837423419
289,2022-04-18 22:44:42.733405,42.11811245268459,-143.5817709219989,419.7654963165303
290,2022-04-18 22:44:57.555340,41.584244276146975,-142.57697848595728,419.70418722138635
291,2022-04-18 22:45:12.744062,41.0270412903847,-141.5655495068006,419.6401532747575
292,2022-04-18 22:45:27.578207,40.47329258110468,-140.59520479050715,419.57659730239675
293,2022-04-18 22:45:42.742084,39.897840312729336,-139.62081674047243,419.5107631834096
